fecha;codigo;modulo;tipo;objetivo;cambio_realizado;justificacion;resultado;implicaciones;pendientes;estado;referencia
2026-04-11;WF-HL-001;scripts/process_zonas_vida.py;refactor;Adaptar el procesamiento de zonas de vida a ejecución headless;Se eliminó la dependencia de QGIS Processing y de inicialización de interfaz, reescribiendo el flujo con GDAL puro y control explícito de NoData;El script estaba orientado a ejecución externa dentro de qgis_env y convenía hacerlo más robusto para workflow no supervisado;Script funcional en modo headless con salida categórica Byte y NoData explícito;Establece el patrón base para scripts raster categóricos alineados a reg_unidas;Agregar prueba unitaria e integración mínima;hecho;
2026-04-11;WF-HL-002;scripts/process_viento.py;refactor;Adaptar el procesamiento de variables de viento a un flujo sin GUI;Se sustituyeron componentes de PyQGIS interactivo por lectura, alineación y muestreo con GDAL/OGR y salida tabular/vectorial controlada;Se buscó compatibilidad con ejecución batch y reducción de dependencias interactivas;Flujo operativo para promedio, alineación y extracción en puntos;Queda listo para modularización adicional y pruebas por bloques;Evaluar refactor posterior con xarray y dask para NetCDF;hecho;
2026-04-11;WF-HL-003;scripts/process_huracanes.py;refactor;Migrar rasterización de shapefiles de huracanes a modo headless;Se reemplazó la reproyección con processing por reproyección con GDAL/OGR y rasterización directa a la malla de reg_unidas;La versión previa usaba dependencias interactivas innecesarias para un procesamiento batch;Script funcional en modo headless con selección de campo numérico y salida alineada;El patrón puede reutilizarse para otras series vectoriales temáticas;Definir estrategia más estricta para selección de atributo si hay múltiples campos numéricos;hecho;
2026-04-11;WF-HL-004;scripts/process_erosion_acrecion.py;refactor;Adaptar la rasterización de tasas de erosión/acreción a workflow no supervisado;Se reemplazaron QgsRasterLayer y processing por GDAL/OGR, manteniendo la rasterización del campo Tasa sobre la malla exacta de reg_unidas;La rasterización podía resolverse completamente sin GUI ni sesión activa de QGIS Desktop;Rasterización operativa en modo headless con validación de campo;Queda lista para integración a Snakemake y pruebas formales;Agregar test de integración con shapefile mínimo;hecho;
2026-04-11;WF-HL-005;scripts/process_batimetria.py;refactor;Adaptar el recorte y alineación de batimetría a modo headless;Se eliminó el código sobrante de PyQGIS y se consolidó un único gdal.Warp con cutline, reproyección y alineación a la malla plantilla;La lógica principal ya era headless y podía simplificarse para uso automatizado;Script funcional con validación de entradas y salida raster alineada;Consolida el patrón para variables continuas recortadas con máscara vectorial;Agregar prueba de integración con raster y máscara pequeños;hecho;
2026-04-11;WF-DOC-001;docs/bitacora.csv;documentacion;Definir un formato compacto y reusable para la bitácora técnica del subproyecto;Se propuso una bitácora tabular en CSV con campos estandarizados y categorías de cambio;Se requiere trazabilidad clara y editable tanto desde texto como desde hoja de cálculo;Formato de bitácora definido para uso continuo;Facilita seguimiento técnico y futura integración con reportes automáticos;Poblar entradas conforme avance la modularización y validación;hecho;
2026-04-11;WF-DOC-002;README-headless.md;documentacion;Definir la estructura base de la documentación técnica del subproyecto headless;Se propusieron secciones para propósito, alcance, principios de diseño, entorno, convenciones metodológicas, ejecución y validación;La migración a modo headless necesita quedar explícitamente documentada para asegurar consistencia futura;Estructura documental definida a nivel de propuesta;Servirá como referencia técnica para desarrollo y operación;Redactar primera versión completa del README-headless;pendiente;
2026-04-11;WF-SMK-001;Snakefile y workflow/rules;snakemake;Incorporar una capa de orquestación reproducible para los scripts headless;Se propuso una estructura con Snakefile, archivos de reglas por módulo y config.yaml centralizado;La ejecución por pasos requiere trazabilidad de dependencias y un mecanismo de reejecución controlada;Arquitectura base de Snakemake definida a nivel de propuesta;Sienta la base para automatización reproducible del subproyecto;Implementar la primera versión operativa del Snakefile;pendiente;
2026-04-11;WF-TST-001;tests/ y pytest.ini;pruebas;Diseñar una capa formal de validación para scripts geoespaciales;Se propuso separar pruebas unitarias, de integración y end-to-end mínimas con pytest y fixtures pequeños;El crecimiento del workflow requiere validación sistemática y reproducible;Estrategia de pruebas definida a nivel conceptual;Permitirá detectar errores de entradas, alineación, rasterización y salidas;Crear conftest.py y primera tanda de tests unitarios;pendiente;
2026-04-11;WF-ENV-001;qgis_env;entorno;Fijar el criterio de uso de bibliotecas dentro del entorno virtual;Se acordó priorizar GDAL/OGR para raster y vectores base, xarray/rioxarray para NetCDF, dask para escalamiento y evitar GUI directa;El entorno ya dispone de bibliotecas suficientes para un enfoque headless-first;Criterio técnico de implementación definido;Ayuda a mantener consistencia entre scripts y reducir dependencia de PyQGIS interactivo;Documentar este criterio en README-headless;hecho;
